サルノリ,50,65,50,40,40,65
バチンキー,70,85,70,55,60,80
ゴリランダー,100,125,90,60,70,85
ヒバニー,50,71,40,40,40,69
ラビフット,65,86,60,55,60,94
エースバーン,80,116,75,65,75,119
メッソン,50,40,40,70,40,70
ジメレオン,65,60,55,95,55,90
インテレオン,70,85,65,125,65,120
サッチムシ,25,20,20,25,45,45
レドームシ,50,35,80,50,90,30
イオルブ,60,45,110,80,120,90
キャタピー,45,30,35,20,20,45
トランセル,50,20,55,25,25,30
バタフリー,60,45,50,90,80,70
アゴジムシ,47,62,45,55,45,46
デンヂムシ,57,82,95,55,75,36
クワガノン,77,70,90,145,75,43
ホーホー,60,30,30,36,56,50
ヨルノズク,100,50,50,86,96,70
ココガラ,38,47,35,33,35,57
アオガラス,68,67,55,43,55,77
アーマーガア,98,87,105,53,85,67
ホシガリス,70,55,55,35,35,25
ヨクバリス,120,95,95,55,75,20
マメパト,50,55,50,36,30,43
ハトーボー,62,77,62,50,42,65
ケンホロウ,80,115,80,65,55,93
クスネ,40,28,28,47,52,50
フォクスライ,70,58,58,87,92,90
タチフサグマ,93,90,101,60,81,95
ウールー,42,40,55,40,45,48
バイウールー,72,80,100,60,90,88
ハスボー,40,30,30,40,50,30
ハスブレロ,60,50,50,60,70,50
ルンパッパ,80,70,70,90,100,70
タネボー,40,40,50,30,30,30
コノハナ,70,70,40,60,40,60
ダーテング,90,100,60,90,60,80
カムカメ,50,64,50,38,38,44
カジリガメ,90,115,90,48,68,74
チョロネコ,41,50,37,50,37,66
レパルダス,64,88,50,88,50,106
ワンパチ,59,45,50,40,50,26
パルスワン,69,90,60,90,60,121
ホルビー,38,36,38,32,36,57
ホルード,85,56,77,50,77,78
チラーミィ,55,50,40,40,40,75
チラチーノ,75,95,60,65,60,115
アマカジ,42,30,38,30,38,32
アママイコ,52,40,48,40,48,62
アマージョ,72,120,98,50,98,72
ナゾノクサ,45,50,55,75,65,30
クサイハナ,60,65,70,85,75,40
ラフレシア,75,80,85,110,90,50
キレイハナ,75,80,95,90,100,50
スボミー,40,30,35,50,70,55
ロゼリア,50,60,45,100,80,65
ロズレイド,60,70,65,125,105,90
キャモメ,40,30,30,55,30,85
ペリッパー,60,50,100,95,70,65
バチュル,50,47,50,57,50,65
デンチュラ,70,77,60,97,60,108
ラクライ,40,45,40,65,40,65
ライボルト,70,75,60,105,60,105
ロコン,38,41,40,50,65,65
キュウコン,73,76,75,81,100,100
ガーディ,55,70,45,70,50,60
ウインディ,90,110,80,100,80,95
バニプッチ,36,50,50,65,60,44
バニリッチ,51,65,65,80,75,59
バイバニラ,71,95,85,110,95,79
ウリムー,50,50,40,30,30,50
イノムー,100,100,80,60,60,50
マンムー,110,130,80,70,60,80
デリバード,45,55,45,65,45,75
ユキワラシ,50,50,50,50,50,50
オニゴーリ,80,80,80,80,80,80
ユキメノコ,70,80,70,80,70,110
ヤジロン,40,40,55,40,70,55
ネンドール,60,70,105,70,120,75
ドロバンコ,70,100,70,45,55,45
バンバドロ,100,125,100,55,85,35
イシズマイ,50,65,85,35,35,55
イワパレス,70,105,125,65,75,45
ゴビット,59,74,50,35,50,35
ゴルーグ,89,124,80,55,80,55
ムンナ,76,25,45,67,55,24
ムシャーナ,116,55,85,107,95,29
ネイティ,40,50,45,70,45,70
ネイティオ,65,75,70,95,70,95
ヌイコグマ,70,75,50,45,50,50
キテルグマ,120,125,80,55,60,60
ユキカブリ,60,62,50,62,60,40
ユキノオー,90,92,75,92,85,60
クラブ,30,105,90,25,25,50
キングラー,55,130,115,50,50,75
ウパー,55,45,45,25,25,15
ヌオー,95,85,85,65,65,35
ヘイガニ,43,80,65,50,35,35
シザリガー,63,120,85,90,55,55
ツチニン,31,45,90,30,30,40
テッカニン,61,90,45,50,50,160
ヌケニン,1,90,45,30,30,40
バルキー,35,35,35,35,35,35
サワムラー,50,120,53,35,110,87
エビワラー,50,105,79,35,110,76
カポエラー,50,95,95,35,110,70
ヤンチャム,67,82,62,46,48,43
ゴロンダ,95,124,78,69,71,58
ギアル,40,55,70,45,60,30
ギギアル,60,80,95,70,85,50
ギギギアル,60,100,115,70,85,90
ミツハニー,30,30,42,30,42,70
ビークイン,70,80,102,80,102,40
ドーミラー,57,24,86,24,86,23
ドータクン,67,89,116,79,116,33
ラルトス,28,25,25,45,35,40
キルリア,38,35,35,65,55,50
サーナイト,68,65,65,125,115,80
エルレイド,68,125,65,65,115,80
フワンテ,90,50,34,60,44,70
フワライド,150,80,44,90,54,80
ヒメンカ,40,40,60,40,60,10
ワタシラガ,60,50,90,80,120,60
チェリンボ,45,35,45,62,53,35
チェリム,70,60,70,87,78,85
スカンプー,63,63,47,41,41,74
スカタンク,103,93,67,71,61,84
オタマロ,50,50,40,50,40,64
ガマガル,75,65,55,65,55,69
ガマゲロゲ,105,95,75,85,75,74
ヨマワル,20,40,90,30,90,25
サマヨール,40,70,130,60,130,25
ヨノワール,45,100,135,65,135,45
ワンリキー,70,80,50,35,35,35
ゴーリキー,80,100,70,50,60,45
カイリキー,90,130,80,65,85,55
ゴース,30,35,30,100,35,80
ゴースト,45,50,45,115,55,95
ゲンガー,60,65,60,130,75,110
コイキング,20,10,55,15,20,80
ギャラドス,95,125,79,60,100,81
トサキント,45,67,60,35,50,63
アズマオウ,80,92,65,65,80,68
テッポウオ,35,65,35,65,35,65
オクタン,75,105,75,105,75,45
シェルダー,30,65,100,45,25,40
パルシェン,50,95,180,85,45,70
ヒンバス,20,15,20,10,55,80
ミロカロス,95,60,79,100,125,81
バスラオ,70,92,65,80,55,98
ヨワシ,45,20,20,25,25,40
ナマコブシ,55,60,130,30,130,5
ヤブクロン,50,50,62,40,62,65
ダストダス,80,95,82,60,82,75
ヤクデ,50,65,45,50,50,45
マルヤクデ,100,115,65,90,90,65
タンドン,30,40,50,40,50,30
トロッゴン,80,60,90,60,70,50
セキタンザン,110,80,120,80,90,30
ディグダ,10,55,25,35,45,95
ダグトリオ,35,100,50,50,70,120
モグリュー,60,85,40,30,45,68
ドリュウズ,110,135,60,50,65,88
ダンゴロ,55,75,85,25,25,15
ガントル,70,105,105,50,40,20
ギガイアス,85,135,130,60,80,25
ドッコラー,75,80,55,25,35,35
ドテッコツ,85,105,85,40,50,40
ローブシン,105,140,95,55,65,45
コロモリ,65,45,43,55,43,72
ココロモリ,67,57,55,77,55,114
オンバット,40,30,35,45,40,55
オンバーン,85,70,80,97,80,123
イワーク,35,45,160,30,45,70
ハガネール,75,85,200,55,65,30
サシカマス,41,63,40,40,30,66
カマスジョー,61,123,60,60,50,136
ニャース,40,45,35,40,40,90
ニャイキング,70,110,100,50,60,50
ペルシアン,65,70,60,65,65,115
マホミル,45,40,40,50,61,34
マホイップ,65,60,75,110,121,64
アブリー,40,45,40,55,40,84
アブリボン,60,55,60,95,70,124
テッシード,44,50,91,24,86,10
ナットレイ,74,94,131,54,116,20
バケッチャ,49,66,70,44,55,51
パンプジン,65,90,122,58,75,84
ピチュー,20,40,15,35,35,60
ピカチュウ,35,55,40,50,50,90
ライチュウ,60,90,55,90,80,110
イーブイ,55,55,50,45,65,55
シャワーズ,130,65,60,110,95,65
サンダース,65,65,60,110,95,130
ブースター,65,130,60,95,110,65
エーフィ,65,65,60,130,95,110
ブラッキー,95,65,110,60,130,65
リーフィア,65,110,130,60,65,95
グレイシア,65,60,110,130,95,65
ニンフィア,95,65,65,110,130,60
カジッチュ,40,40,80,40,40,20
アップリュー,70,110,80,95,60,70
タルップル,110,85,80,100,80,30
ニャスパー,62,48,54,63,60,68
ニャオニクス,74,48,76,83,81,104
ペロッパフ,62,48,66,59,57,49
ペロリーム,82,80,86,85,75,72
シュシュプ,78,52,60,63,65,23
フレフワン,101,72,72,99,89,29
シズクモ,38,40,52,40,72,27
オニシズクモ,68,70,92,50,132,42
ソーナノ,95,23,48,23,48,23
ソーナンス,190,33,58,33,58,33
ネギガナイト,62,135,95,68,82,65
チョンチー,75,38,38,56,56,67
ランターン,125,58,58,76,76,67
グレッグル,48,61,40,61,40,50
ドクロッグ,83,106,65,86,65,85
ズルッグ,50,75,70,35,70,48
ズルズキン,65,90,115,45,115,58
ツボツボ,20,10,230,10,230,5
ドジョッチ,50,48,43,46,41,60
ナマズン,110,78,73,76,71,60
カラナクシ,76,48,48,57,62,34
トリトドン,111,83,68,92,82,39
コソクムシ,25,35,40,20,30,80
グソクムシャ,75,125,140,60,90,40
カメテテ,42,52,67,39,56,50
ガメノデス,72,105,115,54,86,68
サニゴーン,60,95,50,145,130,30
ベロバー,45,45,30,55,40,50
ギモー,65,60,45,75,55,70
オーロンゲ,95,120,65,95,75,60
ミブリム,42,30,45,56,53,39
テブリム,57,40,65,86,73,49
ブリムオン,57,90,95,136,103,29
ヤトウモリ,48,44,40,71,40,77
エンニュート,68,64,60,111,60,117
コマタナ,45,85,70,40,40,60
キリキザン,65,125,100,60,70,70
ナゲキ,120,100,85,30,85,45
ダゲキ,75,125,75,30,75,85
ドガース,40,65,95,60,45,35
ウソハチ,50,80,95,10,45,10
ウソッキー,70,100,115,30,65,30
ピィ,50,25,28,45,55,15
ピッピ,70,45,48,60,65,35
ピクシー,95,70,73,95,90,60
トゲピー,35,20,65,40,65,20
トゲチック,55,40,85,80,105,40
トゲキッス,85,50,95,120,115,80
ゴンベ,135,85,40,40,85,5
カビゴン,160,110,65,65,110,30
モンメン,40,27,60,37,50,66
エルフーン,60,67,85,77,75,116
サイホーン,80,85,95,30,30,25
サイドン,105,130,120,45,45,40
ドサイドン,115,140,130,55,55,40
ゴチム,45,30,50,55,65,45
ゴチミル,60,45,70,75,85,55
ゴチルゼル,70,55,95,95,110,65
ユニラン,45,30,40,105,50,20
ダブラン,65,40,50,125,60,30
ランクルス,110,65,75,125,85,30
カブルモ,50,75,45,40,45,60
シュバルゴ,70,135,105,60,105,20
チョボマキ,50,40,85,40,65,25
アギルダー,80,70,40,100,60,145
リグレー,55,55,55,85,55,30
オーベム,75,75,75,125,95,40
クマシュン,55,70,40,60,40,40
ツンベアー,95,130,80,70,80,50
ワシボン,70,83,50,37,50,60
ウォーグル,100,123,75,57,75,80
バルチャイ,70,55,75,45,65,60
バルジーナ,110,65,105,55,95,80
スコルピ,40,50,90,30,55,65
ドラピオン,70,90,110,60,75,95
ヒトモシ,50,30,55,65,55,20
ランプラー,60,40,60,95,60,55
シャンデラ,60,55,90,145,90,80
マーイーカ,53,54,53,37,46,45
カラマネロ,86,92,88,68,75,73
ニューラ,55,95,55,35,75,115
マニューラ,70,120,65,45,85,125
ヤミラミ,50,75,75,65,65,50
クチート,50,85,85,55,55,50
マラカッチ,75,86,67,106,67,60
シンボラー,72,58,80,103,80,97
リオル,40,70,40,35,40,60
ルカリオ,70,110,70,115,70,90
コータス,70,85,140,85,70,20
ミミッキュ,55,90,80,50,105,96
ゾウドウ,72,80,49,40,49,40
ダイオウドウ,122,130,69,80,69,30
ハリーセン,65,95,85,55,55,85
プルリル,55,40,50,65,85,40
ブルンゲル,100,60,70,85,105,60
ヒドイデ,50,53,62,43,52,45
ドヒドイデ,50,63,152,53,142,35
ウッウ,70,85,55,85,95,85
エレズン,40,38,35,54,35,40
ストリンダー,75,98,70,114,70,75
スナヘビ,52,57,75,35,50,46
サダイジャ,72,107,125,65,70,71
ヒポポタス,68,72,78,38,42,32
カバルドン,108,112,118,68,72,47
アイアント,58,109,112,48,48,109
クイタラン,85,97,66,105,66,65
エリキテル,44,38,33,61,43,70
エレザード,62,55,52,109,94,109
ルチャブル,78,92,75,74,63,118
ナックラー,45,100,45,45,45,10
ビブラーバ,50,70,50,50,50,70
フライゴン,80,100,80,80,80,100
キバゴ,46,87,60,30,40,57
オノンド,66,117,70,40,50,67
オノノクス,76,147,90,60,70,97
デスマス,38,30,85,55,65,30
デスバーン,58,95,145,50,105,30
デスカーン,58,50,145,95,105,30
ヒトツキ,45,80,100,35,37,28
ニダンギル,59,110,150,45,49,35
ギルガルド,60,50,140,50,140,60
ヤバチャ,40,45,45,74,54,50
ポットデス,60,65,65,134,114,70
イエッサン,60,65,55,105,95,95
ボクレー,43,70,48,50,60,38
オーロット,85,110,76,65,82,56
ネマシュ,40,35,55,65,75,15
マシェード,60,45,80,90,100,30
ヤレユータン,90,60,80,90,110,60
ナゲツケサル,100,120,90,40,60,80
モルペコ,58,95,58,70,58,97
タイレーツ,65,100,100,70,60,75
ジジーロン,78,60,85,135,91,36
バクガメス,60,78,135,91,85,36
トゲデマル,65,98,63,40,73,96
ユキハミ,30,25,35,45,30,20
モスノウ,70,65,60,125,90,65
タタッコ,50,68,60,50,50,32
オトスパス,80,118,90,70,80,42
バチンウニ,48,101,95,91,85,15
タマンタ,45,20,50,60,120,50
マンタイン,85,40,70,80,140,70
